Trophy,Class Position,Car Number,Driver Name,Car Model,Tire Mfg,Region,Run 1,Run 2,Run 3,Total Time,Medal,(blank),Codriver Car Number,Driver Town,Sponsor,(unknown),Division,Run 4,Run 5,Run 6,Diff Behind Next Fastest in Class,Rank PAX,Class Position,Class,Car Number,Driver Name,Car Model,Tire Mfg,Total Time,PAX Factor,PAX Time,Diff Behind Next Fastest PAX,Diff Behind 1st Place PAX,RTP Points,Car Year,Car Model,First Name,Last Name,City,State,Rank Overall
,36,43,Jim Garton,2005 Mazda MSM,BFGoodrich,Rio Grand,61.143,63.031(1),60.508,125.247,M,,,"Albuquerque, NM",Garton Toy Co.,,Rocky Moun,64.885,64.772,64.739,(0.058),731,36,ES,43,Jim Garton,2005 Mazda MSM,BFGoodrich,125.247,0.794,99.446,0.003,7.963,9199,2005,Mazda MSM,Jim,Garton,Albuquerque,NM,1046
,37,76,Carson Orud,1999 Mazda Miata,Bridgestone,Oregon,60.367,60.016,60.270,125.832,,,[176],"Castle Rock, WA",youtube.com/TheVroomVlog,,NorPac,DNF,67.603,65.816,(0.585),770,37,ES,76,Carson Orud,1999 Mazda Miata,Bridgestone,125.832,0.794,99.911,0.052,8.427,9157,1999,Mazda Miata,Carson,Orud,Castle Rock,WA,1072
,38,53,Mike Robinson,1999 Mazda Miata,Bridgestone,Tennessee,62.249(1),61.841,60.500,126.090,,,[153],"Huntsville, AL",Goofy Gomer Racing,,Southeast,67.828(1),66.723,65.590,(0.258),788,38,ES,53,Mike Robinson,1999 Mazda Miata,Bridgestone,126.090,0.794,100.115,0.010,8.632,9138,1999,Mazda Miata,Mike,Robinson,Huntsville,AL,1083
,39,34,Bruce Schlaebitz,2003 Toyota MR 2 Spyder,BFGoodrich,,63.311,62.564,60.676,126.243,,,,"Butte, MT",Dig It Racing,,NorPac,67.085,66.458,65.567,(0.153),806,39,ES,34,Bruce Schlaebitz,2003 Toyota MR2 Spyder,BFGoodrich,126.243,0.794,100.237,0.014,8.754,9127,2003,Toyota MR2 Spyder,Bruce,Schlaebitz,Butte,MT,1086
,40,153,David Robinson,1999 Mazda Miata,Bridgestone,Tennessee,61.397,61.862,60.453,126.341,,,[53],"Huntsville, AL",Goofy Gomer Racing,,Southeast,66.517,66.027,65.888,(0.098),815,40,ES,153,David Robinson,1999 Mazda Miata,Bridgestone,126.341,0.794,100.315,0.011,8.831,9120,1999,Mazda Miata,David,Robinson,Huntsville,AL,1091
,41,98,Brian Haynes,2003 Toyota MR2 Spyder,BFGoodrich,Rio Grand,63.013(1),59.558,59.625,126.546,,,[198],"Los Alamos, NM",Isotope Racing Wheels,,Rocky Moun,67.087(1),66.988(1),67.200(1),(0.205),830,41,ES,98,Brian Haynes,2003 Toyota MR2 Spyder,BFGoodrich,126.546,0.794,100.478,0.002,8.994,9105,2003,Toyota MR2 Spyder,Brian,Haynes,Los Alamos,NM,1098
,42,25,Sean Grubb,1999 Mazda Miata,Bridgestone,Northeast O,63.362(1),61.542(1),60.756,126.785,,,,"Tulsa, OK",iZoom Graphics/Idiot Savant Motr,,Midwest,66.949,66.029,DNF,(0.239),847,42,ES,25,Sean Grubb,1999 Mazda Miata,Bridgestone,126.785,0.794,100.667,0.001,9.184,9088,1999,Mazda Miata,Sean,Grubb,Tulsa,OK,1111
,43,73,Ed Runnion,1999 Mazda Miata,Bridgestone,San Franc,60.977,62.971(1),60.699,126.883,,,[173],"San Jose, CA",Thanks Charlie!,,NorPac,66.763,70.636(2),66.184,(0.098),855,43,ES,73,Ed Runnion,1999 Mazda Miata,Bridgestone,126.883,0.794,100.745,0.002,9.262,9081,1999,Mazda Miata,Ed,Runnion,San Jose,CA,1114
,44,187,Mark Wolfe,2000 Mazda Miata,Bridgestone,San Diego,60.547,61.671,63.674(1),126.913,,,[87],"Lakeside, CA",,,Southwest,66.946,67.041,66.366,(0.030),856,44,ES,187,Mark Wolfe,2000 Mazda Miata,Bridgestone,126.913,0.794,100.769,0.024,9.286,9079,2000,Mazda Miata,Mark,Wolfe,Lakeside,CA,1116
,45,173,Charlie Davis,1999 Mazda MIATA,Bridgestone,San Franc,60.240,59.989,60.872,126.947,,,[73],"Vallejo, CA",Motorsport Techniques,,NorPac,67.853(1),69.663(2),66.958,(0.034),858,45,ES,173,Charlie Davis,1999 Mazda Miata,Bridgestone,126.947,0.794,100.796,0.006,9.313,9076,1999,Mazda Miata,Charlie,Davis,Vallejo,CA,1117
,46,96,James Green,2003 Toyota mr2,BFGoodrich,Nebraska,62.360,61.408,DNF,126.963,,,,"Kearney, NE",Gang Green Racing,,Central,67.197,65.555,65.736,(0.016),860,46,ES,96,James Green,2003 Toyota MR2,BFGoodrich,126.963,0.794,100.809,0.008,9.325,9075,2003,Toyota MR2,James,Green,Kearney,NE,1118
,47,44,Bud Bohrer,1988 Porsche 944,BFGoodrich,Northwest,62.179,62.871,61.173,127.582,,,,"Lakewood, WA",Fordahl Motorsports,,NorPac,70.202(1),67.693,66.409,(0.619),923,47,ES,44,Bud Bohrer,1988 Porsche 944,BFGoodrich,127.582,0.794,101.300,0.004,9.817,9031,1988,Porsche 944,Bud,Bohrer,Lakewood,WA,1134
,48,179,Mark Miller,1999 Mazda miata,Bridgestone,North Car,62.812,72.298(1),62.309,128.082,,,[79],"Carolina Beach, NC",Sand & Surf. Inc,,Southeast,DNF,71.832(3),65.773,(0.500),953,48,ES,179,Mark Miller,1999 Mazda Miata,Bridgestone,128.082,0.794,101.697,0.010,10.214,8996,1999,Mazda Miata,Mark,Miller,Carolina Beach,NC,1153
,49,15,Terrance Pearson,Mazda Mazdaspeed Miata,BFGoodrich,Arctic Al,75.165(2),61.641,62.729(1),128.593,,,[115],"Chugiak, AK",,,NorPac,68.070,67.597,66.952,(0.511),986,49,ES,15,Terrance Pearson,Mazdaspeed Miata,BFGoodrich,128.593,0.794,102.103,0.004,10.619,8960,,Mazdaspeed Miata,Terrance,Pearson,Chugiak,AK,1162
,50,19,Chris Peet,2001 Mazda Miata LS,Bridgestone,South Ben,62.917,63.681(1),63.228,129.159,,,,"Battle Creek, MI",,,Great Lakes,67.840,66.242,DNF,(0.566),1018,50,ES,19,Chris Peet,2001 Mazda Miata LS,Bridgestone,129.159,0.794,102.552,0.051,11.069,8921,2001,Mazda Miata LS,Chris,Peet,Battle Creek,MI,1176
,51,18,Peter Lindberg,1999 Mazda Miata,Bridgestone,Houston,63.237(1),63.038(1),63.879(1),129.215,,,[118],"Pasadena, TX",Brausen Generosity Borowski Whee,,Southwest,72.635(2),66.177,66.414,(0.056),1021,51,ES,18,Peter Lindberg,1999 Mazda Miata,Bridgestone,129.215,0.794,102.597,0.016,11.113,8917,1999,Mazda Miata,Peter,Lindberg,Pasadena,TX,1177
,52,10,Vernon Head,2001 Toyota MR2,BFGoodrich,San Franc,65.435(2),63.794(1),64.992(1),129.255,,,,"Sacramento, CA",,,NorPac,65.665,67.371(1),65.461,(0.040),1027,52,ES,10,Vernon Head,2001 Toyota MR2,BFGoodrich,129.255,0.794,102.628,0.003,11.145,8914,2001,Toyota MR2,Vernon,Head,Sacramento,CA,1180
,53,92,Craig Boyle,2000 Mazda Miata,Bridgestone,San Franc,62.952,DNF,62.171,129.614,,,[76],"Los Altos, CA",,,NorPac,DNF,71.624(2),67.443,(0.359),1051,53,ES,92,Craig Boyle,2000 Mazda Miata,Bridgestone,129.614,0.794,102.914,0.026,11.430,8889,2000,Mazda Miata,Craig,Boyle,Los Altos,CA,1188
,54,61,Richard Grav,1999 Mazda Miata,Bridgestone,,65.629(1),62.809,62.043,130.018,,,[161],",",,,,DNF,68.590,67.975,(0.404),1066,54,ES,61,Richard Grav,1999 Mazda Miata,Bridgestone,130.018,0.794,103.234,0.014,11.751,8862,1999,Mazda Miata,Richard,Grav,,,1194
,55,161,Jonathan Crowe,1999 Mazda Miata,Bridgestone,,,63.019,DNF,130.043,,,[61],",",,,,,68.010,70.861(1),(0.025),1067,55,ES,161,Jonathan Crowe,1999 Mazda Miata,Bridgestone,130.043,0.794,103.254,0.020,11.771,8860,1999,Mazda Miata,Jonathan,Crowe,,,1195
,56,68,Steve Ducharme,1997 Mazda Miata,Bridgestone,Nebraska,,62.876,62.711,130.315,,,,"Lincoln, NE",Luzita,,Midwest,,68.314,72.540(1),(0.272),1076,56,ES,68,Steve Ducharme,1997 Mazda Miata,Bridgestone,130.315,0.794,103.470,0.010,11.987,8842,1997,Mazda Miata,Steve,Ducharme,Lincoln,NE,1200
,57,62,Harold Reed,2003 Toyota MR2 Spyder,BFGoodrich,Lone Star,64.788,64.307,63.243,131.496,,,[162],"Austin, TX",,,Southwest,,74.950,68.253,(1.181),1116,57,ES,62,Harold Reed,2003 Toyota MR2 Spyder,BFGoodrich,131.496,0.794,104.408,0.020,12.924,8762,2003,Toyota MR2 Spyder,Harold,Reed,Austin,TX,1220
,58,41,Clark Benton,2003 Toyota mr2 spyder,BFGoodrich,Arkansas,DNF,DNF,63.919,132.392,,,,"LITTLE ROCK, AR",,,Midwest,,69.218,68.473,(0.896),1135,58,ES,41,Clark Benton,2003 Toyota MR2 Spyder,BFGoodrich,132.392,0.794,105.119,0.058,13.636,8703,2003,Toyota MR2 Spyder,Clark,Benton,LITTLE ROCK,AR,1230
,59,184,Eric Peterson,2003 Toyota Spyder,BFGoodrich,North Car,60.657(1),58.414,60.585(1),132.454,,,[84],"Hillsborough, NC",Solo Pro Driving & Atomic Empire,,Southeast,,74.040(5),88.990,(0.062),1139,59,ES,184,Eric Peterson,2003 Toyota Spyder,BFGoodrich,132.454,0.794,105.168,0.020,13.685,8699,2003,Toyota Spyder,Eric,Peterson,Hillsborough,NC,1232
,60,17,Buck Entriken,2005 Mazda Mazdaspeed,Bridgestone,Texas,,66.495,63.810,132.505,M,,,"Terrell, TX",Built By Buck,,Southwest,,77.482,69.581,(0.051),1142,60,ES,17,Buck Entriken,2005 Mazda Mazdaspeed,Bridgestone,132.505,0.794,105.209,0.006,13.726,8695,2005,Mazda Mazdaspeed,Buck,Entriken,Terrell,TX,1233
,61,40,Ian Johnson,2002 Toyota MRS,Bridgestone,Rio Grand,67.959,67.166(1),65.349(1),133.411,,,,"Farmington, NM",,,Southwest,,69.224,71.804(1),(0.906),1160,61,ES,40,Ian Johnson,2002 Toyota MRS,Bridgestone,133.411,0.794,105.928,0.088,14.445,8636,2002,Toyota MRS,Ian,Johnson,Farmington,NM,1245
,62,4,Rocky Entriken Jr.,2000 Mazda MX5,Bridgestone,Salina,,70.299,65.104,135.056,M,,,"Salina, KS",Ikke sÃ¥ Hurtig Racing / Built By B,,Midwest,,69.952,70.589,(1.645),1201,62,ES,4,Rocky Entriken Jr.,2000 Mazda MX5,Bridgestone,135.056,0.794,107.234,0.079,15.751,8531,2000,Mazda MX5,Rocky Entriken,Jr.,Salina,KS,1259
,63,31,Bill Bauman,2003 Mazda Miata,Toyo,Kansas C,,63.332,63.809,136.310,,,,"Belton, MO",,,Midwest,,DNF,73.681(1),(1.254),1215,63,ES,31,Bill Bauman,2003 Mazda Miata,Toyo,136.310,0.794,108.230,0.013,16.747,8453,2003,Mazda Miata,Bill,Bauman,Belton,MO,1264
,64,28,Henry Brillhart,2003 Mazda Miata,Bridgestone,Wichita,,66.142,64.771,137.168,,,,"Wichita, KS",DISCOUNT TIRE,,Central,,DNF,72.397,(0.858),1225,64,ES,28,Henry Brillhart,2003 Mazda Miata,Bridgestone,137.168,0.794,108.911,0.054,17.428,8400,2003,Mazda Miata,Henry,Brillhart,Wichita,KS,1273
T,1,184,Jennifer Bedell,2003 Toyota MR2 Spyder,BFGoodrich,North Car,60.274,59.112,58.985,123.280,,,[84],"Hillsborough, NC",AtomicEmpire.com,,Southeast,,64.482,64.967,,473,1,ESL,184,Jennifer Bedell,2003 Toyota MR2 Spyder,BFGoodrich,123.280,0.794,97.884,0.004,6.401,9346,2003,Toyota MR2 Spyder,Jennifer,Bedell,Hillsborough,NC,926
T,2,84,Chris Peterson,Toyota Spyder,BFGoodrich,North Car,60.704,59.339,59.299,123.443,,,[184],"Hillsborough, NC",Atomic Empire,,Southeast,,74.295,64.144,(0.163),495,2,ESL,84,Chris Peterson,Toyota Spyder,BFGoodrich,123.443,0.794,98.014,0.019,6.530,9334,,Toyota Spyder,Chris,Peterson,Hillsborough,NC,937
T,3,98,Meredith Brown,2003 Toyota MR2 Spyder,BFGoodrich,Rio Grand,61.729,60.389,60.142,124.362,,,,"Los Alamos, NM",Toyota of Santa Fe,,Rocky Moun,64.345,64.220,64.315,(0.919),627,3,ESL,98,Meredith Brown,2003 Toyota MR2 Spyder,BFGoodrich,124.362,0.794,98.743,0.009,7.260,9265,2003,Toyota MR2 Spyder,Meredith,Brown,Los Alamos,NM,997
,4,43,Marchell Fletcher,2005 Mazda MSM,BFGoodrich,Rio Grand,62.337,61.616,61.075,127.530,,,[143],"Durango, CO",Mazda/ BFGoodrich,,Rocky Moun,67.622,66.455,67.032,(3.168),915,4,ESL,43,Marchell Fletcher,2005 Mazda MSM,BFGoodrich,127.530,0.794,101.259,0.001,9.775,9035,2005,Mazda MSM,Marchell,Fletcher,Durango,CO,1133
,5,143,Mary Lou Holmes,2005 Mazda Speed Miata,BFGoodrich,Rio Grand,64.201,63.046,63.253,130.769,,,[43],"Los Alamos, NM",Thanks Jim,,Rocky Moun,69.089,67.723,DNF,(3.239),1099,5,ESL,143,Mary Lou Holmes,2005 Mazda Speed Miata,BFGoodrich,130.769,0.794,103.831,0.007,12.347,8811,2005,Mazda Speed Miata,Mary Lou,Holmes,Los Alamos,NM,1208
,6,18,April Brausen,1999 Mazda Miata,Bridgestone,Milwauke,68.563(1),65.076,65.880(1),133.248,,,,"Bloomington, MN",,,Midwest,,73.386(1),68.172,(2.479),1158,6,ESL,18,April Brausen,1999 Mazda Miata,Bridgestone,133.248,0.794,105.799,0.017,14.316,8647,1999,Mazda Miata,April,Brausen,Bloomington,MN,1242
,7,3,MacKenzi Crowe,1999 Mazda Miata,Bridgestone,Southern I,73.454,65.177,65.921(1),136.656,,,,"Newburgh, IN",,,Midwest,,78.431,71.505,(3.408),1219,7,ESL,3,MacKenzi Crowe,1999 Mazda Miata,Bridgestone,136.656,0.794,108.505,0.082,17.022,8431,1999,Mazda Miata,MacKenzi,Crowe,Newburgh,IN,1266
,8,28,Sharon Brillhart,2003 Mazda Miata,Bridgestone,Wichita,,65.783,66.060,138.807,,,,"Wichita, KS",DISCOUNT TIRE,,Central,,DNF,73.024,(2.151),1240,8,ESL,28,Sharon Brillhart,2003 Mazda Miata,Bridgestone,138.807,0.794,110.213,0.186,18.729,8301,2003,Mazda Miata,Sharon,Brillhart,Wichita,KS,1276
,9,31,Janet Bauman,2003 Mazda Miata,Toyo,Kansas C,,68.907,DNF,No Time,,,,"Belton, MO",,,Midwest,,DNF,DNF,,1295,9,ESL,31,Janet Bauman,2003 Mazda Miata,Toyo,No Time,0.794,999.999,––,––,––,2003,Mazda Miata,Janet,Bauman,Belton,MO,
T,1,199,Jeff Cashmore,2017 MULTI,Bridgestone,Milwauke,56.897,57.263,56.592,118.217,,,[99],"New Berlin, WI",Badger Meter,,Central,,62.487,62.078,,88,1,FS,199,Jeff Cashmore,2017 Multi,Bridgestone,118.217,0.804,95.046,0.014,3.563,9625,2017,Multi,Jeff,Cashmore,New Berlin,WI,498
T,2,188,Courtney Cormier,2015 Chevrolet camaro,Bridgestone,Washingt,,57.252,56.666,118.411,,,[88],"Glen Allen, VA",,,Northeast,,64.132(1),61.745,(0.194),95,2,FS,188,Courtney Cormier,2015 Chevy Camaro,Bridgestone,118.411,0.804,95.202,0.042,3.719,9609,2015,Chevy Camaro,Courtney,Cormier,Glen Allen,VA,519
T,3,53,Mike Leeder,2017 Chevrolet Camaro,Bridgestone,Milwauke,59.470(1),57.438,57.056,119.277,,,,"Madison, WI",,,Central,DNF,65.628(2),62.221,(0.866),161,3,FS,53,Mike Leeder,2017 Chevy Camaro,Bridgestone,119.277,0.804,95.899,0.006,4.415,9540,2017,Chevy Camaro,Mike,Leeder,Madison,WI,596
T,4,80,James Paulson,2016 Ford Mustang GT,Bridgestone,Oregon,58.138,56.887,DNF,119.348,,,,"Portland, OR",Sugar Mama Racing,,NorPac,62.793,64.079(1),62.461,(0.071),167,4,FS,80,James Paulson,2016 Ford Mustang GT,Bridgestone,119.348,0.804,95.956,0.010,4.472,9534,2016,Ford Mustang GT,James,Paulson,Portland,OR,607
T,5,42,Jeremy Anderson,2011 BMW E90 M3,Bridgestone,Land O L,DNF,58.436,57.723,119.840,,,,"Winona, MN",,,Central,64.430(1),62.117,64.202(1),(0.492),221,5,FS,42,Jeremy Anderson,2011 BMW E90 M3,Bridgestone,119.840,0.804,96.351,0.003,4.868,9495,2011,BMW E90 M3,Jeremy,Anderson,Winona,MN,642
T,6,32,Christopher Jepsen,2015 Ford Mustang GT/PP,Bridgestone,Nebraska,59.888(1),57.325,61.214(2),120.023,,,[132],"York, NE",Cone 502 Racing,,Midwest,62.835,62.874,62.698,(0.183),240,6,FS,32,Christopher Jepsen,2015 Mustang GT/PP,Bridgestone,120.023,0.804,96.498,0.004,5.015,9480,2015,Mustang GT/PP,Christopher,Jepsen,York,NE,663
T,7,193,Jimmy Vajdak,2016 Chevrolet Camaro SS,Bridgestone,Detroit,57.549,57.712,57.659,120.078,,,[93],"Royal Oak, MI",careers.gm.com,,Northeast,62.996,62.529,62.554,(0.055),254,7,FS,193,Jimmy Vajdak,2016 Chevy Camaro SS,Bridgestone,120.078,0.804,96.543,0.001,5.059,9476,2016,Chevy Camaro SS,Jimmy,Vajdak,Royal Oak,MI,667
T,8,187,Jason Bucki,2011 BMW M3,Bridgestone,Arizona,60.824(1),61.105(1),58.028,120.137,,,[87],"Phoenix, AZ",,,SoPac,62.152,62.109,62.681,(0.059),260,8,FS,187,Jason Bucki,2011 BMW M3,Bridgestone,120.137,0.804,96.590,0.001,5.107,9471,2011,BMW M3,Jason,Bucki,Phoenix,AZ,674
T,9,59,Michael Feeney,2016 Chevrolet Camaro,Bridgestone,North Car,60.959(1),58.641,58.154,120.236,,,[159],"bellevue, ne",,,Southeast,62.082,62.788,63.482,(0.099),274,9,FS,59,Michael Feeney,2016 Chevy Camaro,Bridgestone,120.236,0.804,96.670,0.004,5.186,9463,2016,Chevy Camaro,Michael,Feeney,bellevue,ne,683
T,10,132,Justin Eckles,2015 Ford Mustang GT,Bridgestone,Nebraska,57.575,57.434,63.218(3),120.251,,,[32],"Lincoln, NE",Money Funnel Racing,,Midwest,64.016,64.714(1),62.817,(0.015),275,10,FS,132,Justin Eckles,2015 Ford Mustang GT,Bridgestone,120.251,0.804,96.682,0.012,5.198,9462,2015,Ford Mustang GT,Justin,Eckles,Lincoln,NE,686
T,11,93,Philip Mitchell,2016 Chevrolet Camaro SS,None,Detroit,60.550(2),57.527,61.148(2),120.296,,,[193],"White Lake, MI",careers.gm.com,,Great Lakes,65.410(1),65.010(1),62.769,(0.045),281,11,FS,93,Philip Mitchell,2016 Chevy Camaro SS,T12,120.296,0.804,96.718,0.002,5.235,9459,2016,Chevy Camaro SS,Philip,Mitchell,White Lake,MI,692
T,12,91,Clark Walker,2011 BMW M3,Bridgestone,Chicago,58.172,57.881,57.949,120.456,,,,"Bloomington, IL",Melanie Walker,,Central,63.162,62.575,62.877,(0.160),300,12,FS,91,Clark Walker,2011 BMW M3,Bridgestone,120.456,0.804,96.847,0.002,5.363,9446,2011,BMW M3,Clark,Walker,Bloomington,IL,712
,13,196,Brad Moore,2011 BMW M3,Bridgestone,Milwauke,61.613(1),58.058,58.033,120.698,,,[96],"Wauwatosa, WI",,,Central,DNF,67.955(2),62.665,(0.242),328,13,FS,196,Brad Moore,2011 BMW M3,Bridgestone,120.698,0.804,97.041,0.008,5.558,9427,2011,BMW M3,Brad,Moore,Wauwatosa,WI,731
,14,197,Chris Kirkland,2013 Ford Ford Boss,Bridgestone,North Car,57.732,57.383,57.622,120.876,,,[97],"Arvada, CO",Oylers Speed Shop,,Rocky Moun,64.748(1),64.333(1),63.493,(0.178),356,14,FS,197,Chris Kirkland,2013 Ford Boss 302,Bridgestone,120.876,0.804,97.184,0.012,5.701,9413,2013,Ford Boss 302,Chris,Kirkland,Arvada,CO,742
,15,87,Dave Bahl,2011 BMW M3,Bridgestone,Land O L,58.548,58.378,58.389,121.107,,,[187],"Eden Prairie, MN",Bucki Ball,,Great Lakes,63.575,63.073,62.729,(0.231),388,15,FS,87,Dave Bahl,2011 BMW M3,Bridgestone,121.107,0.804,97.370,0.014,5.887,9395,2011,BMW M3,Dave,Bahl,Eden Prairie,MN,757
,16,23,Chris Hammond,2005 BMW M3,BFGoodrich,St. Louis,60.243(1),58.233,57.845,121.250,,,[123],"Wildwood, MO",JD1 @CameraMounts,,Midwest,64.028,63.546,63.405,(0.143),411,16,FS,23,Chris Hammond,2005 BMW M3,BFGoodrich,121.250,0.804,97.485,0.006,6.002,9384,2005,BMW M3,Chris,Hammond,Wildwood,MO,770
,17,88,Rod mcgeorge,2015 Chevrolet camaro,Bridgestone,Washingt,58.381,58.817,58.550,121.731,,,[188],"Tappahannock, VA",,,Northeast,63.716,63.350,63.450,(0.481),471,17,FS,88,Rod McGeorge,2015 Chevy Camaro,Bridgestone,121.731,0.804,97.872,0.011,6.388,9347,2015,Chevy Camaro,Rod,mcgeorge,Tappahannock,VA,815
,18,85,Sean Scott,2013 BMW M3,Nexen,Northeast O,60.008(1),58.466,58.866,121.989,,,,"Tulsa, Ok",Miss Janet UCO mom,,Midwest,66.497(1),63.523,64.160,(0.258),502,18,FS,85,Sean Scott,2013 BMW M3,Nexen,121.989,0.804,98.079,0.020,6.596,9328,2013,BMW M3,Sean,Scott,Tulsa,Ok,835
,19,159,Matt Feeney,2016 Chevrolet camaro,Bridgestone,Blue Ridg,59.716,60.392(1),58.173,122.025,,,[59],"Lexington, NC",,,Southeast,63.852,64.464,69.586(1),(0.036),510,19,FS,159,Matt Feeney,2016 Chevy Camaro,Bridgestone,122.025,0.804,98.108,0.005,6.625,9325,2016,Chevy Camaro,Matt,Feeney,Lexington,NC,838
,20,123,Matthew Grainger,2005 BMW M3,BFGoodrich,St. Louis,71.904(6),58.781,58.272,122.054,,,[23],"Weston, MO",,,Midwest,67.610(1),67.705(2),63.782,(0.029),514,20,FS,123,Matthew Grainger,2005 BMW M3,BFGoodrich,122.054,0.804,98.131,0.010,6.648,9323,2005,BMW M3,Matthew,Grainger,Weston,MO,840
,21,92,Shawn Lambert,2016 Chevrolet Camaro,Hoosier,Kentucky,60.039(1),58.885,57.920,122.091,,,[192],"Fisherville, KY",,,Great Lakes,64.384,65.821(1),64.171,(0.037),518,21,FS,92,Shawn Lambert,2016 Chevy Camaro,Hoosier,122.091,0.804,98.161,0.011,6.678,9320,2016,Chevy Camaro,Shawn,Lambert,Fisherville,KY,843
,22,176,Kevin Youngers,2015 Ford Mustang GT,Bridgestone,Colorado,58.505,59.673,59.106,122.302,,,[76],"Greeley, CO",Youngers Insights,,Rocky Moun,64.337,63.797,64.478,(0.211),550,22,FS,176,Kevin Youngers,2015 Ford Mustang GT,Bridgestone,122.302,0.804,98.331,0.001,6.847,9304,2015,Ford Mustang GT,Kevin,Youngers,Greeley,CO,862
,23,186,Brian Flanagan,2011 BMW M3,Nexen,Chattanoo,59.348,58.453,60.995(1),122.363,,,[86],"Signal Mtn, TN",Fastech Motorsports,,Southeast,63.910,64.069,DNF,(0.061),557,23,FS,186,Brian Flanagan,2011 BMW M3,Nexen,122.363,0.804,98.380,0.002,6.896,9299,2011,BMW M3,Brian,Flanagan,Signal Mtn,TN,866
,24,96,Marshall Moore,2011 BMW M3,Bridgestone,Milwauke,61.463(1),58.995,61.025(1),122.713,,,[196],"Hartland, WI",Badger Alloys / My Sons Career,,Central,65.623,63.718,65.990(1),(0.350),612,24,FS,96,Marshall Moore,2011 BMW M3,Bridgestone,122.713,0.804,98.661,0.001,7.178,9272,2011,BMW M3,Marshall,Moore,Hartland,WI,888
,25,99,Denise Cashmore,2017 MULTI,Bridgestone,Milwauke,61.252,59.019,59.561,122.913,,,[199],"New Berlin, WI",Jacobus Energy,,Central,68.137(2),63.894,64.571,(0.200),642,25,FS,99,Denise Cashmore,2017 Multi,Bridgestone,122.913,0.804,98.822,0.006,7.339,9257,2017,Multi,Denise,Cashmore,New Berlin,WI,902
,26,84,Chuck Hanson,2012 BMW M3,Bridgestone,Rio Grand,64.091(2),59.248,58.442,122.930,,,,"Albuquerque, NM",60 Laps Celebration Tour,,Rocky Moun,65.845(1),DNF,64.488,(0.017),643,26,FS,84,Chuck Hanson,2012 BMW M3,Bridgestone,122.930,0.804,98.836,0.014,7.352,9256,2012,BMW M3,Chuck,Hanson,Albuquerque,NM,904
,27,40,Clay Brubaker,2016 Ford Mustang GT,Bridgestone,Alamo,59.301,59.957,59.137,123.115,,,[140],"San Antonio, TX",,,Central,64.459,66.912(1),63.978,(0.185),661,27,FS,40,Clay Brubaker,2016 Ford Mustang GT,Bridgestone,123.115,0.804,98.984,0.003,7.501,9242,2016,Ford Mustang GT,Clay,Brubaker,San Antonio,TX,914
,28,140,Jacob Crow,2016 Ford Mustang GT,Bridgestone,,,58.960,58.879,123.162,,,[40],"Austin, TX",,,Southwest,DNF,64.283,64.646,(0.047),666,28,FS,140,Jacob Crow,2016 Ford Mustang GT,Bridgestone,123.162,0.804,99.022,0.002,7.539,9239,2016,Ford Mustang GT,Jacob,Crow,Austin,TX,917
,29,73,Dan Hawrylkiw,2013 Ford Mustang GT,Bridgestone,Arizona,60.507,59.262,58.621,123.507,,,,"Chandler, AZ",,,SoPac,DNF,64.886,70.397(2),(0.345),709,29,FS,73,Dan Hawrylkiw,2013 Ford Mustang GT,Bridgestone,123.507,0.804,99.300,0.001,7.816,9213,2013,Ford Mustang GT,Dan,Hawrylkiw,Chandler,AZ,943
,30,95,Jason Proksch,2011 BMW M3,Bridgestone,Indianapo,60.296,59.759,58.985,123.581,,,,"Lake St. Louis, MO",,,Great Lakes,65.697,64.952,64.596,(0.074),718,30,FS,95,Jason Proksch,2011 BMW M3,Bridgestone,123.581,0.804,99.359,0.001,7.876,9207,2011,BMW M3,Jason,Proksch,Lake St. Louis,MO,949
,31,172,Devin Duran,2015 Ford Mustang GT,Bridgestone,Colorado,61.578(1),61.505,59.345,124.075,,,[72],"Loveland, CO",,,Rocky Moun,67.407(1),64.756,64.730,(0.494),757,31,FS,172,Devin Duran,2015 Ford Mustang GT,Bridgestone,124.075,0.804,99.756,0.005,8.273,9171,2015,Ford Mustang GT,Devin,Duran,Loveland,CO,980
,32,86,Scott Dobler II,2011 BMW M3,Nexen,Chattanoo,60.747,59.809,60.656(1),124.299,,,[186],"Nashville, TN",Fastech Motorsports,,Southeast,64.490,64.835,64.996,(0.224),775,32,FS,86,Scott Dobler II,2011 BMW M3,Nexen,124.299,0.804,99.936,0.001,8.453,9154,2011,BMW M3,Scott Dobler,II,Nashville,TN,994
,33,24,Sam Eddy,2016 Chevrolet Camaro SS,Bridgestone,Saginaw V,59.431,65.209(1),59.804,124.509,,,,"Dewitt, MI",,,Great Lakes,65.202,65.078,DNF,(0.210),787,33,FS,24,Sam Eddy,2016 Chevy Camaro SS,Bridgestone,124.509,0.804,100.105,0.010,8.622,9139,2016,Chevy Camaro SS,Sam,Eddy,Dewitt,MI,1008
,34,72,Jonathan White,2015 Ford Mustang GT,Bridgestone,Colorado,60.585,60.068,59.438,125.020,,,[172],"Greeley, CO",NAPA,,Rocky Moun,65.582,DNF,65.753,(0.511),833,34,FS,72,Jonathan White,2015 Ford Mustang GT,Bridgestone,125.020,0.804,100.516,0.004,9.033,9101,2015,Ford Mustang GT,Jonathan,White,Greeley,CO,1034
